ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	79.10997371879698	79.10997371879698	79.10997371879698	79.10997371879698
1	79.11429420083104	79.11082264086308	79.11258815894179	79.11435367702053
2	79.1373184270735	79.11460345354682	79.12655937197074	79.13738789340313
3	79.15299364455308	79.11593767910728	79.13522213446441	79.1530704779554
4	79.16550226669179	79.11762269873883	79.14320619404556	79.16563537625092
5	79.17356433926898	79.11847874286026	79.14796500517188	79.17366043607777
6	79.18496756399897	79.11917667340815	79.15427415550126	79.18508105530358
7	79.19417269410569	79.11990390998885	79.16036614988371	79.19428435372198
8	79.20808079237932	79.12101658245022	79.16840172362039	79.20818659985332
9	79.21360462550253	79.1217917881634	79.17286346544115	79.21371425965869
10	79.21765540217051	79.12205211438216	79.17614734509972	79.21778496037598
