Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	21:56:32	21:56:32	21:56:32			21:56:32	21:56:32	21:56:32	21:56:32	21:56:32	21:56:33	21:56:33	21:56:33	21:56:33	21:56:33	21:56:33			21:56:33	21:56:33		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
1	21:56:33	21:56:33	21:56:33	21:56:33	21:56:33	21:56:33	21:56:33	21:56:34	21:56:34	21:56:34	21:56:34	21:56:34	21:56:34	21:56:34	21:56:34	21:56:34			21:56:35	21:56:35		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	21:56:35	21:56:35	21:56:35	21:56:35	21:56:35	21:56:35			21:56:35	21:56:35	21:56:36	21:56:36	21:56:36	21:56:36	21:56:36	21:56:36			21:56:36	21:56:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	21:56:36	21:56:36	21:56:36	21:56:36	21:56:36	21:56:36			21:56:36	21:56:36	21:56:37	21:56:37	21:56:37	21:56:37	21:56:37	21:56:37			21:56:37	21:56:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	21:56:37	21:56:37	21:56:37	21:56:37	21:56:37	21:56:37			21:56:37	21:56:37	21:56:38	21:56:38	21:56:38	21:56:38	21:56:38	21:56:38			21:56:38	21:56:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	21:56:38	21:56:38	21:56:38	21:56:38	21:56:38	21:56:38			21:56:38	21:56:38	21:56:38	21:56:38	21:56:38	21:56:38	21:56:38	21:56:38			21:56:39	21:56:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	21:56:39	21:56:39	21:56:39	21:56:39	21:56:39	21:56:39			21:56:39	21:56:39	21:56:39	21:56:39	21:56:39	21:56:39	21:56:39	21:56:39			21:56:40	21:56:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	21:56:40	21:56:40	21:56:40	21:56:40	21:56:40	21:56:40			21:56:40	21:56:40	21:56:40	21:56:40	21:56:40	21:56:40	21:56:40	21:56:40			21:56:41	21:56:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	21:56:41	21:56:41	21:56:41	21:56:41	21:56:41	21:56:41			21:56:41	21:56:41	21:56:41	21:56:41	21:56:41	21:56:41	21:56:41	21:56:41			21:56:41	21:56:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	21:56:42	21:56:42	21:56:42	21:56:42	21:56:42	21:56:42			21:56:42	21:56:42	21:56:42	21:56:42	21:56:42	21:56:42	21:56:42	21:56:42			21:56:42	21:56:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	21:56:42	21:56:42	21:56:42	21:56:42	21:56:42	21:56:42	21:56:42	21:56:43	21:56:43	21:56:43	21:56:43	21:56:43	21:56:43	21:56:43	21:56:43	21:56:43	21:56:43	21:56:43	21:56:43	21:56:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
