2019-03-18 21:57:28,574 ERROR BasicPlanAgentImpl:165 last activity of person driver agent id agent_from_4_0 has end time < infty; setting it to infty
2019-03-18 21:57:28,575 ERROR BasicPlanAgentImpl:166  This message given only once.
2019-03-18 21:57:29,256  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:57:29,256  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:57:29,257  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:57:29,257  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:57:29,257  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:41:24][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:57:29,257  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:57:29,257  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:57:30,882  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:57:30,882  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:57:30,882  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:57:30,883  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:57:30,883  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:38:02][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:57:30,883  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:57:30,883  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:57:32,400  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:57:32,400  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:57:32,400  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:57:32,400  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:57:32,400  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:35:53][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:57:32,400  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:57:32,400  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:57:33,391  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:57:33,392  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:57:33,392  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:57:33,392  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:57:33,392  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:30:37][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:57:33,392  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:57:33,392  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:57:34,270  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:57:34,270  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:57:34,270  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:57:34,270  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:57:34,270  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:30:57][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:57:34,270  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:57:34,270  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:57:35,144  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:57:35,145  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:57:35,145  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:57:35,145  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:57:35,145  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:31:04][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:57:35,145  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:57:35,145  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:57:36,009  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:57:36,009  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:57:36,009  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:57:36,009  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:57:36,009  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:31:52][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:57:36,009  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:57:36,010  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:57:36,889  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:57:36,889  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:57:36,889  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:57:36,889  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:57:36,889  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:32:34][endTime=undefined][duration=undefined][facilityId=null]
