ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	79.17984973566375	79.17984973566375	79.17984973566375	79.17984973566375
1	79.9228671936719	79.74241951367128	79.83284336072143	79.92326720777149
2	80.43272682857891	80.11893227449292	80.27997345814579	80.43339063865349
3	80.82017759119593	80.40525557090506	80.62374182628676	80.82141266605518
4	80.92490949732462	80.48083868417817	80.72140665765004	80.93311817965044
5	81.04668722499855	80.57621839041958	80.83711578765254	81.05915080882757
6	81.11481250866639	80.62594314023897	80.8993596349792	81.12636094325327
7	81.13139535832137	80.67854726638015	80.9393308728796	81.1531691063776
8	81.04142199662184	80.55851356337364	80.83943166738676	81.06943399547747
9	81.11680250940618	80.6359307635933	80.91274119917539	81.13086850030707
10	81.09103527896546	80.59132533540426	80.88034070047281	81.1064116231169
