Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	21:57:28	21:57:28	21:57:28			21:57:28	21:57:28	21:57:28	21:57:28	21:57:28	21:57:29	21:57:29	21:57:29	21:57:29	21:57:29	21:57:29			21:57:29	21:57:29		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
1	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30	21:57:30			21:57:31	21:57:31		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	21:57:31	21:57:31	21:57:31	21:57:31	21:57:31	21:57:31			21:57:31	21:57:31	21:57:32	21:57:32	21:57:32	21:57:32	21:57:32	21:57:32			21:57:32	21:57:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	21:57:32	21:57:32	21:57:32	21:57:32	21:57:32	21:57:32			21:57:32	21:57:32	21:57:33	21:57:33	21:57:33	21:57:33	21:57:33	21:57:33			21:57:33	21:57:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	21:57:33	21:57:33	21:57:33	21:57:33	21:57:33	21:57:33			21:57:33	21:57:33	21:57:34	21:57:34	21:57:34	21:57:34	21:57:34	21:57:34			21:57:34	21:57:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	21:57:34	21:57:34	21:57:34	21:57:34	21:57:34	21:57:34			21:57:34	21:57:34	21:57:35	21:57:35	21:57:35	21:57:35	21:57:35	21:57:35			21:57:35	21:57:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	21:57:35	21:57:35	21:57:35	21:57:35	21:57:35	21:57:35			21:57:35	21:57:35	21:57:36	21:57:36	21:57:36	21:57:36	21:57:36	21:57:36			21:57:36	21:57:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	21:57:36	21:57:36	21:57:36	21:57:36	21:57:36	21:57:36			21:57:36	21:57:36	21:57:36	21:57:36	21:57:36	21:57:36	21:57:36	21:57:36			21:57:37	21:57:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	21:57:37	21:57:37	21:57:37	21:57:37	21:57:37	21:57:37			21:57:37	21:57:37	21:57:37	21:57:37	21:57:37	21:57:37	21:57:37	21:57:37			21:57:38	21:57:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	21:57:38	21:57:38	21:57:38	21:57:38	21:57:38	21:57:38			21:57:38	21:57:38	21:57:38	21:57:38	21:57:38	21:57:38	21:57:38	21:57:38			21:57:39	21:57:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:39	21:57:40	21:57:40		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
