2019-03-19 14:03:36,149 ERROR BasicPlanAgentImpl:165 last activity of person driver agent id agent_from_2_16 has end time < infty; setting it to infty
2019-03-19 14:03:36,149 ERROR BasicPlanAgentImpl:166  This message given only once.
2019-03-19 14:03:36,740  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-19 14:03:36,740  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-19 14:03:36,741  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-19 14:03:36,744  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-19 14:03:36,744  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:41:10][endTime=undefined][duration=undefined][facilityId=null]
2019-03-19 14:03:36,744  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-19 14:03:36,744  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-19 14:03:38,236  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-19 14:03:38,236  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-19 14:03:38,236  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-19 14:03:38,236  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-19 14:03:38,236  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:37:41][endTime=undefined][duration=undefined][facilityId=null]
2019-03-19 14:03:38,236  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-19 14:03:38,236  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-19 14:03:39,654  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-19 14:03:39,654  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-19 14:03:39,655  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-19 14:03:39,655  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-19 14:03:39,655  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:35:57][endTime=undefined][duration=undefined][facilityId=null]
2019-03-19 14:03:39,655  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-19 14:03:39,655  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-19 14:03:40,705  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-19 14:03:40,705  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-19 14:03:40,705  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-19 14:03:40,705  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-19 14:03:40,705  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:30:37][endTime=undefined][duration=undefined][facilityId=null]
2019-03-19 14:03:40,705  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-19 14:03:40,706  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-19 14:03:41,593  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-19 14:03:41,593  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-19 14:03:41,593  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-19 14:03:41,593  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-19 14:03:41,593  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-1][startTime=06:31:43][endTime=undefined][duration=undefined][facilityId=null]
2019-03-19 14:03:41,593  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-19 14:03:41,593  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-19 14:03:42,477  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-19 14:03:42,477  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-19 14:03:42,477  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-19 14:03:42,477  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
