ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	79.23018540326757	79.23018540326757	79.23018540326757	79.23018540326757
1	79.9841476510819	79.80404961061986	79.89430858167394	79.98456755272798
2	80.4767413539807	80.16627471629013	80.32547838387596	80.47719180493245
3	80.85718548114845	80.44899872488713	80.66393394005958	80.85828929972102
4	81.1168057535055	80.68046390633279	80.91504508106611	81.12136513081009
5	81.0028337262904	80.56675829484635	80.81424529292683	81.02461291206419
6	81.15024173063766	80.80375430962538	81.01072474274858	81.18757350271594
7	81.08496186975177	80.62123444481372	80.8830908936216	81.11152369892581
8	81.16788390370311	80.68901859736879	80.95322367971244	81.1773229137593
9	81.08001697733586	80.6122701412599	80.88168363171059	81.10588998947101
10	81.13127445762524	80.71894875932992	80.97865330145292	81.2036582356897
