Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:03:35	14:03:35	14:03:35			14:03:35	14:03:35	14:03:35	14:03:35	14:03:35	14:03:36	14:03:36	14:03:36	14:03:36	14:03:36	14:03:36			14:03:37	14:03:37		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
1	14:03:37	14:03:37	14:03:37	14:03:37	14:03:37	14:03:37	14:03:37	14:03:37	14:03:37	14:03:37	14:03:38	14:03:38	14:03:38	14:03:38	14:03:38	14:03:38			14:03:38	14:03:38		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	14:03:39	14:03:39	14:03:39	14:03:39	14:03:39	14:03:39			14:03:39	14:03:39	14:03:39	14:03:39	14:03:39	14:03:39	14:03:39	14:03:39			14:03:40	14:03:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	14:03:40	14:03:40	14:03:40	14:03:40	14:03:40	14:03:40			14:03:40	14:03:40	14:03:40	14:03:40	14:03:40	14:03:40	14:03:40	14:03:40			14:03:41	14:03:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	14:03:41	14:03:41	14:03:41	14:03:41	14:03:41	14:03:41			14:03:41	14:03:41	14:03:41	14:03:41	14:03:41	14:03:41	14:03:41	14:03:41			14:03:42	14:03:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	14:03:42	14:03:42	14:03:42	14:03:42	14:03:42	14:03:42			14:03:42	14:03:42	14:03:42	14:03:42	14:03:42	14:03:42	14:03:42	14:03:42			14:03:42	14:03:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	14:03:42	14:03:42	14:03:42	14:03:42	14:03:42	14:03:42			14:03:42	14:03:42	14:03:43	14:03:43	14:03:43	14:03:43	14:03:43	14:03:43			14:03:43	14:03:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	14:03:43	14:03:43	14:03:43	14:03:43	14:03:43	14:03:43			14:03:43	14:03:43	14:03:44	14:03:44	14:03:44	14:03:44	14:03:44	14:03:44			14:03:44	14:03:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	14:03:44	14:03:44	14:03:44	14:03:44	14:03:44	14:03:44			14:03:44	14:03:44	14:03:44	14:03:44	14:03:44	14:03:44	14:03:44	14:03:44			14:03:45	14:03:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	14:03:45	14:03:45	14:03:45	14:03:45	14:03:45	14:03:45			14:03:45	14:03:45	14:03:45	14:03:45	14:03:45	14:03:45	14:03:45	14:03:45			14:03:46	14:03:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:46	14:03:47	14:03:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
